artista,genero,anio,similares,bio,listeners,playcount
Steve Lacy,jazz,2020,"The Internet, Matt Martians, Frank Ocean","(1) Steve Thomas Lacy-Moya (born May 23, 1998), better known as Steve Lacy, is an American musician, guitarist, bassist, singer-songwriter, and record producer. He was born in Compton, California, and gained recognition as a member of the Grammy-nominated R&B band, The Internet, in 2015. In February 2017, Lacy released his debut project, a song series, titled “Steve Lacy's Demo” and his debut album,  “Apollo XXI”, was released on May 2019. On December 4, 2020, Lacy released a compilation album titled “The Lo-Fis”. <a href=""https://www.last.fm/music/Steve+Lacy"">Read more on Last.fm</a>",2846709,256524169
Laufey,jazz,2021,"natalie jinju, beabadoobee, Laufey, 小野リサ","Laufey Lín Bing Jónsdóttir is an Icelandic singer-songwriter. She spent much of her childhood traveling between Reykjavík and Washington, DC, where she learned to speak English with barely a trace of an accent. Inspired in part by her mother, a classical violinist, she took up piano and cello early on, but it was her father’s collection of Ella Fitzgerald and Billie Holiday albums that spoke to her on a deeper level.

“I’m definitely very influenced by composers like Ravel and Chopin <a href=""https://www.last.fm/music/Laufey"">Read more on Last.fm</a>",1910795,189205748
Frank Sinatra,jazz,2022,"Dean Martin, Frank Sinatra & Count Basie, Nat King Cole","
Francis Albert Sinatra (December 12, 1915 – May 14, 1998) was an American singer, actor, and producer who was one of the most popular and influential musical artists of the 20th century. He is one of the best-selling music artists of all time, having sold more than 150 million records worldwide. 

Born in Hoboken, New Jersey, to Italian immigrants, Sinatra began his musical career in the swing era with bandleaders Harry James and Tommy Dorsey. Sinatra found success as a solo artist after he signed with Columbia Records in 1943 <a href=""https://www.last.fm/music/+noredirect/Frank+Sinatra"">Read more on Last.fm</a>",4601596,162879253
Leon Thomas,jazz,2023,"Lucky Daye, 3ee, SiR","Leon Thomas III, born on August 1, 1993, in Brooklyn, New York, is an American singer, songwriter, record producer, and actor. He first gained recognition for his role as André Harris on the Nickelodeon series Victorious (2010–2013), where his musical abilities were often highlighted, contributing to the show's soundtrack and performing original songs.

After Victorious, Thomas shifted his focus more fully toward music. He released solo material <a href=""https://www.last.fm/music/Leon+Thomas"">Read more on Last.fm</a>",687396,13473193
Sade,jazz,2020,"Erykah Badu, Solange, Anita Baker","Sade (pronounced shah-day) is an English band formed in London in 1982, named after their lead singer, Sade Adu. Their music features elements of soul, quiet storm, smooth jazz and sophisti-pop. All of their albums, including compilations and a live album, have charted in the US Top Ten.

Three of their members were originally from Hull in the East Riding of Yorkshire. Sade was formed in 1982, when members of Latin soul band Pride — Sade Adu, (real name Helen Folasade Adu - born 16 January 1959 in Ibadan <a href=""https://www.last.fm/music/Sade"">Read more on Last.fm</a>",3029747,108866041
Amy Winehouse,jazz,2021,"Duffy, Corinne Bailey Rae, Adele","Amy Jade Winehouse was an English singer and songwriter. She was known for her deep, expressive contralto vocals and her eclectic mix of musical genres, including soul, rhythm and blues, reggae and jazz.

A member of the National Youth Jazz Orchestra during her youth, Winehouse signed to Simon Fuller's 19 Management in 2002 and soon recorded a number of songs before signing a publishing deal with EMI. She also formed a working relationship with producer Salaam Remi through these record publishers. <a href=""https://www.last.fm/music/Amy+Winehouse"">Read more on Last.fm</a>",4391300,191315401
Chet Baker,jazz,2022,"Chet Baker Quartet, Gerry Mulligan, Paul Desmond","Chesney Henry ""Chet"" Baker, Jr. (December 23, 1929 – May 13, 1988) was an American jazz trumpeter, flugelhornist and vocalist.
Baker earned much attention and critical praise through the 1950s, particularly for albums featuring his vocals (Chet Baker Sings, It Could Happen to You). Jazz historian David Gelly described the promise of Baker's early career as ""James Dean, Sinatra, and Bix, rolled into one."" His well-publicized drug habit also drove his notoriety and fame <a href=""https://www.last.fm/music/Chet+Baker"">Read more on Last.fm</a>",1740616,47452790
Miles Davis,jazz,2023,"John Coltrane, Miles Davis Quintet, Wayne Shorter","Miles Davis (Miles Dewey Davis III, Alton, Illinois, May 26, 1926 – Santa Monica, California, September 28, 1991) was an American trumpeter, bandleader and composer.

Widely considered one of the most influential musicians of the 20th century, Miles Davis was, with his musical groups, at the forefront of several major developments in jazz music, including bebop, cool jazz, hard bop, modal jazz, and jazz fusion. Many well-known musicians rose to prominence as members of Davis' ensembles <a href=""https://www.last.fm/music/+noredirect/Miles+Davis"">Read more on Last.fm</a>",2288473,81448851
Stan Getz,jazz,2020,"Paul Desmond, Stan Getz & Charlie Byrd, Antônio Carlos Jobim","Stan Getz (Stanley Gayetzky, February 2, 1927  Philadelphia   –  June 6, 1991 Malibu, California) was an American jazz tenor saxophone player. Known as ""The Sound"" because of his warm, lyrical tone, Getz's prime influence was the wispy, mellow tone of his idol, Lester Young.

His parents were Ukrainian Jews who immigrated from Kyiv city, Ukraine in 1903. The family later moved to New York City for better jobs. Stan worked hard in school receiving straight ""A's"" on average and finished 6th grade close to the top of his class. <a href=""https://www.last.fm/music/Stan+Getz"">Read more on Last.fm</a>",1496800,27215948
Michael Bublé,jazz,2021,"Bing Crosby, Dean Martin, Nat King Cole","Michael Steven Bublé (born September 9, 1975) is a Canadian singer and songwriter known for his interpretations of traditional pop standards and his contributions to reviving interest in the Great American Songbook. He has sold over 75 million records globally and received numerous accolades, including five Grammy Awards and fifteen Juno Awards.

Bublé's self-titled debut album was released in 2003 and reached the top ten in Canada and the United Kingdom. <a href=""https://www.last.fm/music/Michael+Bubl%C3%A9"">Read more on Last.fm</a>",3288781,83389270
Nina Simone,jazz,2022,"Etta James, Billie Holiday, Aretha Franklin","Eunice Kathleen Waymon (21 February 1933 – 21 April 2003), better known by her stage name Nina Simone, was an American singer, pianist, arranger, and civil rights activist widely associated with jazz music. Simone aspired to become a classical pianist while working in a broad range of styles including classical, jazz, blues, soul, folk, rhythm and blues, gospel, and pop.

Simone was born Eunice Kathleen Waymon on 21st February 1933 in Tryon, North Carolina, USA, one of eight children. <a href=""https://www.last.fm/music/+noredirect/Nina+Simone"">Read more on Last.fm</a>",2842392,70666610
BADBADNOTGOOD,jazz,2023,"BADBADNOTGOOD & Ghostface Killah, Yussef Dayes, Alfa Mist","BADBADNOTGOOD (abbreviated as BBNG) is (formerly) pianist Matt Tavares, saxophonist Leland Whitty, bassist Chester Stone Hansen and drummer Alex Sowinski. The original trio (Tavares, Hansen and Sowinski) met at Humber College in Toronto, Canada and bonded over their mutual musical interests - OFWGKTA, Gucci Mane, and Waka Flocka Flame.  

BADBADNOTGOOD released their first two albums in 2011 and 2012, both for free from their official Bandcamp. 
 <a href=""https://www.last.fm/music/BADBADNOTGOOD"">Read more on Last.fm</a>",1071458,28995704
Louis Armstrong,jazz,2020,"Ella Fitzgerald & Louis Armstrong, Ella Fitzgerald, Duke Ellington","Louis Armstrong (August 4, 1901 - July 6, 1971) nicknamed Satchmo or Pops, was an American jazz trumpeter and singer from New Orleans, Louisiana.
Coming to prominence in the 1920s as an inventive trumpet and cornet player, Armstrong was a foundational influence in jazz, shifting the focus of the music from collective improvisation to solo performance. With his instantly-recognizable gravelly voice, Armstrong was also an influential singer, demonstrating great dexterity as an improviser <a href=""https://www.last.fm/music/+noredirect/Louis+Armstrong"">Read more on Last.fm</a>",2863182,42625761
Ella Fitzgerald,jazz,2021,"Ella Fitzgerald & Louis Armstrong, Sarah Vaughan, Billie Holiday","Ella Jane Fitzgerald (April 25, 1917 – June 15, 1996) was an American jazz vocalist with a vocal range spanning three octaves (D♭3 to D♭6). Often referred to as the ""First Lady of Song"" and the ""Queen of Jazz"" or just simply ""Lady Ella"", she was noted for her purity of tone, impeccable diction, phrasing and intonation, and a ""horn-like"" improvisational ability, particularly in her scat singing.
Fitzgerald was a notable interpreter of the Great American Songbook. <a href=""https://www.last.fm/music/+noredirect/Ella+Fitzgerald"">Read more on Last.fm</a>",2783235,54396060
