track,album,release_year,artists,popularity,genre
Save Me,Self Medicated,2020,Jelly Roll,71,blues
I Forgot To Be Your Lover,Ohio Players,2024,The Black Keys,49,blues
Sexy Blues,Relaxing Blues,2024,Shen Lab,50,blues
When You Smile,Whiskey Blues | Best of Slow Blues/Rock,2021,BluesBiz,51,blues
My Baby Just Cares for Me,Feeling Good: Her Greatest Hits And Remixes,2022,Nina Simone,42,blues
Beautiful Stranger,El Dorado,2020,Marcus King,52,blues
In My Dreams,How Blue Can You Get,2021,Gary Moore,49,blues
Ain't Got No / I Got Life,Feeling Good: Her Greatest Hits And Remixes,2022,Nina Simone,44,blues
Joy,Blessings and Miracles,2021,"Santana, Chris Stapleton",57,blues
Georgia on My Mind,True Genius,2021,Ray Charles,60,blues
Trouble,Trouble,2022,The Bones of J.R. Jones,49,blues
Who's That,Shining in the Half Light,2022,Elles Bailey,45,blues
Green River,Green River,2020,Eilen Jewell,46,blues
The Line,The Line,2024,Bryan Elijah Smith,58,blues
So Am I,So Am I,2024,Ivan Hartle,45,blues
Next Girl,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,45,blues
Sinister Kid,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,45,blues
Minnie The Moocher,Minnie The Moocher,2021,Brothers Moving,54,blues
Blues Prisoner,Tommy Castro Presents A Bluesman Came To Town,2021,Tommy Castro,45,blues
Too Afraid to Love You,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,46,blues
I've Got You Under My Skin,I've Got You Under My Skin,2020,Karen Souza,38,blues
Hit the Road Jack,Soul,2021,Ray Charles,68,blues
Don't Let Me Go,Ohio Players,2024,The Black Keys,48,blues
Medicine,Promenade Blue,2021,Nick Waterhouse,46,blues
Leave The Light On,Leave The Light On,2023,Sons of Legion,57,blues
Runnin',Runnin',2021,Sons of Legion,56,blues
She's Long Gone,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,45,blues
A Change Is Gonna Come,A Change Is Gonna Come,2020,"Los Coast, Gary Clark Jr.",49,blues
Shakin' Off The Rust,Hidden Gems,2021,The Blue Stones,56,blues
The Well,El Dorado,2020,Marcus King,59,blues
Another Blue Night,Something on Me,2020,"Snowy White, The White Flames",48,blues
Wildflowers & Wine,El Dorado,2020,Marcus King,62,blues
Carolina,Carolina,2024,Sons of Legion,59,blues
Souled Out On You,Sharecropper's Son,2021,Robert Finley,52,blues
Alice,Alice,2023,"Steven Rodriguez, Lena Schaur",57,blues
Last Forever,Last Forever,2020,Shanice Green,49,blues
Sweet Love,Saturday Night,2024,The Vintage Explosion,53,blues
Mean Blues,"The Amogla Sessions, Vol. 1",2022,Floyd Lee & His Mean Blues Band,54,blues
Step Aside,See Where The Night Goes,2022,Goodbye June,50,blues
Never Roam No More,Bohemia After Dawn,2020,"The Bahama Soul Club, John Lee Hooker",54,blues
Reverence,Reverence,2024,Re:um,56,blues
In The Air Tonight,In The Air Tonight,2023,Sons of Legion,65,blues
Comfortably Swing,Comfortably Swing,2024,Noah Beatz,50,blues
You Were Mine,CHICKABOOM!,2020,Tami Neilson,57,blues
Everlasting Light,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,51,blues
All Of Me - New Stereo Remaster 2024,Her Most Famous Recordings (New Stereo Remaster 2024),2024,Billie Holiday,54,blues
We Are The World - Live,B.B. King - Featuring,2024,"Luciano Pavarotti, Ricky Martin, Zucchero, B.B. King, Gloria Estefan, Joe Cocker, Renato Zero, Lionel Richie, Mariah Carey, Shawn Pelton",50,blues
Howlin' for You,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,66,blues
Wild Child,Dropout Boogie,2022,The Black Keys,65,blues
Hit the Road Jack,True Genius,2021,Ray Charles,73,blues
Unchain My Heart,True Genius,2021,Ray Charles,48,blues
Got No More Time,Got No More Time,2023,"Lost in Blues, Sime Tunes, Blues Whiskey, Night Tunes",49,blues
