track_id,track,album,release_year,artists,popularity,genre,year_range
,Hit the Road Jack,True Genius,2021,Ray Charles,73,blues,2020-2024
,Howlin' for You,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,67,blues,2020-2024
,Hit the Road Jack,Soul,2021,Ray Charles,68,blues,2020-2024
,Wild Child,Dropout Boogie,2022,The Black Keys,65,blues,2020-2024
,You Were Mine,CHICKABOOM!,2020,Tami Neilson,57,blues,2020-2024
,Never Roam No More,Bohemia After Dawn,2020,"The Bahama Soul Club, John Lee Hooker",55,blues,2020-2024
,Everlasting Light,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,52,blues,2020-2024
,We Are The World - Live,B.B. King - Featuring,2024,"Luciano Pavarotti, Ricky Martin, Zucchero, B.B. King, Gloria Estefan, Joe Cocker, Renato Zero, Lionel Richie, Mariah Carey, Shawn Pelton",51,blues,2020-2024
,Mean Blues,"The Amogla Sessions, Vol. 1",2022,Floyd Lee & His Mean Blues Band,55,blues,2020-2024
,Souled Out On You,Sharecropper's Son,2021,Robert Finley,52,blues,2020-2024
,Comfortably Swing,Comfortably Swing,2024,Noah Beatz,51,blues,2020-2024
,The Well,El Dorado,2020,Marcus King,59,blues,2020-2024
,Reverence,Reverence,2024,Re:um,56,blues,2020-2024
,Carolina,Carolina,2024,Sons of Legion,59,blues,2020-2024
,Step Aside,See Where The Night Goes,2022,Goodbye June,51,blues,2020-2024
,Minnie The Moocher,Minnie The Moocher,2021,Brothers Moving,54,blues,2020-2024
,Last Forever,Last Forever,2020,Shanice Green,49,blues,2020-2024
,Sweet Love,Saturday Night,2024,The Vintage Explosion,53,blues,2020-2024
,Leave The Light On,Leave The Light On,2023,Sons of Legion,57,blues,2020-2024
,Another Blue Night,Something on Me,2020,"Snowy White, The White Flames",48,blues,2020-2024
,Shakin' Off The Rust,Hidden Gems,2021,The Blue Stones,57,blues,2020-2024
,A Change Is Gonna Come,A Change Is Gonna Come,2020,"Los Coast, Gary Clark Jr.",49,blues,2020-2024
,Joy,Blessings and Miracles,2021,"Santana, Chris Stapleton",57,blues,2020-2024
,She's Long Gone,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,45,blues,2020-2024
,Don't Let Me Go,Ohio Players,2024,The Black Keys,48,blues,2020-2024
,Ain't Got No / I Got Life,Feeling Good: Her Greatest Hits And Remixes,2022,Nina Simone,44,blues,2020-2024
,In My Dreams,How Blue Can You Get,2021,Gary Moore,49,blues,2020-2024
,Medicine,Promenade Blue,2021,Nick Waterhouse,47,blues,2020-2024
,Runnin',Runnin',2021,Sons of Legion,56,blues,2020-2024
,My Baby Just Cares for Me,Feeling Good: Her Greatest Hits And Remixes,2022,Nina Simone,42,blues,2020-2024
,Georgia on My Mind,True Genius,2021,Ray Charles,60,blues,2020-2024
,I've Got You Under My Skin,I've Got You Under My Skin,2020,Karen Souza,38,blues,2020-2024
,Only Want You,Only Want You,2022,Eric Zayne,45,blues,2020-2024
,Blues Prisoner,Tommy Castro Presents A Bluesman Came To Town,2021,Tommy Castro,45,blues,2020-2024
,Too Afraid to Love You,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,46,blues,2020-2024
,Queen,Queen,2024,Jac Ross,50,blues,2020-2024
,I Forgot To Be Your Lover,Ohio Players,2024,The Black Keys,50,blues,2020-2024
,Next Girl,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,45,blues,2020-2024
,Sinister Kid,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,45,blues,2020-2024
,When You Smile,Whiskey Blues | Best of Slow Blues/Rock,2021,BluesBiz,51,blues,2020-2024
,Sexy Blues,Relaxing Blues,2024,Shen Lab,50,blues,2020-2024
,Green River,Green River,2020,Eilen Jewell,46,blues,2020-2024
,So Am I,So Am I,2024,Ivan Hartle,45,blues,2020-2024
,The Line,The Line,2024,Bryan Elijah Smith,58,blues,2020-2024
,Beautiful Stranger,El Dorado,2020,Marcus King,52,blues,2020-2024
,Who's That,Shining in the Half Light,2022,Elles Bailey,46,blues,2020-2024
,Trouble,Trouble,2022,The Bones of J.R. Jones,49,blues,2020-2024
,Fly Free,Fly Free,2023,"Kajsa Vala, Mike Andersen",45,blues,2020-2024
,The Only One,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,44,blues,2020-2024
,Save Me,Self Medicated,2020,Jelly Roll,71,blues,2020-2024
,In The Night Time,Heavy Shoes,2021,The Cold Stares,47,blues,2020-2024
,Córdoba Granada,Córdoba Granada,2024,Noah Beatz,45,blues,2020-2024
,Mississippi Phone Booth,Leftover Feelings,2021,"John Hiatt, Jerry Douglas",46,blues,2020-2024
,Hard Time Letting Go,It's A Long Road,2022,The Meltdown,44,blues,2020-2024
,Alter Ego,Surface Sounds,2021,KALEO,48,blues,2020-2024
,Outrun,Scores & Melodies Vol. 1,2023,"WEARETHEGOOD, Lynnea",53,blues,2020-2024
,Sunday Morning,Full Circle,2021,Jack Biilmann,42,blues,2020-2024
,Somebody Gotta Make A Move,Blacktop Run,2020,Sonny Landreth,45,blues,2020-2024
,Don't Let the Green Grass Fool You,Don't Let the Green Grass Fool You,2020,"Elles Bailey, The Midnight Band",43,blues,2020-2024
,Dead Mans Blues,American Shuffle,2021,Roy Williams,50,blues,2020-2024
,You Know How To Do It,You Know How To Do It,2024,"Mike Andersen, Mads D. Andersen, Billy Cross",42,blues,2020-2024
,Taking The Risk,Taking The Risk,2024,Johnny Woods,42,blues,2020-2024
,Everyday I Have the Blues,Four Classic Albums Plus (B.B. King Sings Spirituals / King of the Blues / More B.B. King / Easy Listening Blues) (Digitally Remastered),2020,B.B. King,40,blues,2020-2024
,Empty City,Standing in the Shadow of the Blues,2024,John Haydock,42,blues,2020-2024
,Fate,Fate,2024,Shanice Green,40,blues,2020-2024
,Summertime,Green River,2020,Eilen Jewell,41,blues,2020-2024
,You To Hold On To,Tommy Castro Presents A Bluesman Came To Town,2021,Tommy Castro,39,blues,2020-2024
,Unchain My Heart,True Genius,2021,Ray Charles,48,blues,2020-2024
,Sorry Seems Too Late,Exported Soul,2023,Mike Äpt,40,blues,2020-2024
,I Was Wrong,I Was Wrong,2024,"Honeybear, the Band",36,blues,2020-2024
,Lonely Blues,Lonely Blues,2024,OdinMann,43,blues,2020-2024
,Good Love (feat. Billy F Gibbons),Dropout Boogie,2022,"The Black Keys, Billy F Gibbons",44,blues,2020-2024
,Goin' Crazy,Goin' Crazy,2024,PAPA | PEET,47,blues,2020-2024
,3Am in Chicago,Little Black Flies,2021,Eddie 9V,47,blues,2020-2024
,"Jealous Guy - Live at The Forum, Melbourne, Australia / 2019",Live At The Forum,2020,The Teskey Brothers,39,blues,2020-2024
,Every Chance I Get (I Want You In The Flesh),Every Chance I Get (I Want You In The Flesh),2023,Dan Auerbach,45,blues,2020-2024
,MC Brady,Dark Songs,2020,Steinar Ytrehus,40,blues,2020-2024
,Gambling with Love,Keep It Simple,2022,Boaz,35,blues,2020-2024
