track_id,track,album,release_year,artists,popularity,genre,year_range
,Hit the Road Jack,True Genius,2021,Ray Charles,73,jazz,2020-2024
,1963,Brief Stories About the Universe,2021,Xavi Castle,46,jazz,2020-2024
,deep in it,deep in it,2023,"berlioz, Ted Jasper",70,jazz,2020-2024
,Hit the Road Jack,Soul,2021,Ray Charles,68,jazz,2020-2024
,jazz is for ordinary people,jazz is for ordinary people,2023,berlioz,66,jazz,2020-2024
,Smoke,Smoke,2020,Pugface,38,jazz,2020-2024
,Easy On Me,Easy On Me,2022,"Changes, Elin Bemark",55,jazz,2020-2024
,Back from Where I Started - Instrumental,The Instrumental Versions,2021,De-Phazz,56,jazz,2020-2024
,No One's Watching Me (feat. Olivia Dean),"Dance, No One's Watching",2024,"Ezra Collective, Olivia Dean",67,jazz,2020-2024
,If You Love Me,Sunset In The Blue,2020,Melody Gardot,58,jazz,2020-2024
,Someone Like You,Ivory,2023,Junity,52,jazz,2020-2024
,Did I Remember,Send For Me,2022,Catherine Russell,61,jazz,2020-2024
,I'm Yours,I'm Yours,2022,"Changes, Elin Bemark",52,jazz,2020-2024
,Blinding Lights,Songs Vol. 2,2023,The Northern Lights Quintet,52,jazz,2020-2024
,All Of Me - New Stereo Remaster 2024,Her Most Famous Recordings (New Stereo Remaster 2024),2024,Billie Holiday,54,jazz,2020-2024
,Talk to me.,Talk to me.,2024,Bolden.,64,jazz,2020-2024
,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Reimagined,2022,Junity,51,jazz,2020-2024
,Don't Stop Believin',Don't Stop Believin',2022,"Changes, Elin Bemark",50,jazz,2020-2024
,joycelyn's dance,open this wall,2024,berlioz,62,jazz,2020-2024
,Creep,Late Hours,2022,The Blue Versions,49,jazz,2020-2024
,As the World Turns - Instrumental,The Instrumental Versions,2021,De-Phazz,52,jazz,2020-2024
,Next to Me,Next to Me,2022,"Urselle, The Cooltrane Quartet",46,jazz,2020-2024
,Thinking out Loud,Jazz Covers (Vol. 1),2022,"Rio Branco, Jazz Covers Club",49,jazz,2020-2024
,As It Was,Songs Vol. 2,2023,The Northern Lights Quintet,48,jazz,2020-2024
,Imagine,Reimagined,2022,Junity,49,jazz,2020-2024
,Don't Speak,Songs Vol. 3,2023,The Northern Lights Quintet,48,jazz,2020-2024
,Halo,More to Come,2024,More More,48,jazz,2020-2024
,Running Up That Hill (A Deal With God),Ivory,2023,Junity,48,jazz,2020-2024
,Never Roam No More,Bohemia After Dawn,2020,"The Bahama Soul Club, John Lee Hooker",55,jazz,2020-2024
,Daisies,Daisies,2024,"Black Gryph0n, Baasik",64,jazz,2020-2024
,Echo Sax End,Echo Sax End,2024,Caleb Arredondo,59,jazz,2020-2024
,Feeling Good,Feeling Good,2022,"Nenei, Stella Starlight Trio",48,jazz,2020-2024
,Dancing On My Own,More Than Ever,2024,More More,47,jazz,2020-2024
,Take My Breath Away,Songs Vol. 4,2023,The Northern Lights Quintet,47,jazz,2020-2024
