track_id,track,album,release_year,artists,popularity,genre,year_range
,Enter Sandman - Remastered 2021,Metallica (Remastered Deluxe Box Set),2021,Metallica,83,metal,2020-2024
,The Emptiness Machine,From Zero,2024,Linkin Park,80,metal,2020-2024
,The Emptiness Machine,The Emptiness Machine,2024,Linkin Park,78,metal,2020-2024
,Heavy Is the Crown,From Zero,2024,Linkin Park,77,metal,2020-2024
,The Unforgiven - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,74,metal,2020-2024
,Two Faced,From Zero,2024,Linkin Park,72,metal,2020-2024
,Sad But True - Remastered 2021,Metallica (Remastered Deluxe Box Set),2021,Metallica,73,metal,2020-2024
,Popular Monster,Popular Monster,2024,Falling In Reverse,74,metal,2020-2024
,Heavy Is the Crown,Heavy Is the Crown,2024,Linkin Park,73,metal,2020-2024
,Watch The World Burn,Popular Monster,2024,Falling In Reverse,72,metal,2020-2024
,Mr. Crowley,Blizzard Of Ozz (40th Anniversary Expanded Edition),2020,Ozzy Osbourne,77,metal,2020-2024
,Kingslayer (feat. BABYMETAL),POST HUMAN: SURVIVAL HORROR,2020,"Bring Me The Horizon, BABYMETAL",74,metal,2020-2024
,Cut the Bridge,From Zero,2024,Linkin Park,70,metal,2020-2024
,THE DEATH OF PEACE OF MIND,THE DEATH OF PEACE OF MIND,2022,Bad Omens,76,metal,2020-2024
,Just Pretend,THE DEATH OF PEACE OF MIND,2022,Bad Omens,77,metal,2020-2024
,Over Each Other,From Zero,2024,Linkin Park,69,metal,2020-2024
,Voices In My Head,Popular Monster,2024,Falling In Reverse,71,metal,2020-2024
,Stained,From Zero,2024,Linkin Park,68,metal,2020-2024
,DArkSide,POST HUMAN: NeX GEn,2024,Bring Me The Horizon,71,metal,2020-2024
,Like A Villain,THE DEATH OF PEACE OF MIND,2022,Bad Omens,73,metal,2020-2024
,Animals,For Those That Wish To Exist,2021,Architects,71,metal,2020-2024
,Prequel,Popular Monster,2024,Falling In Reverse,67,metal,2020-2024
,Lost,Lost,2023,Linkin Park,69,metal,2020-2024
,Wherever I May Roam - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,67,metal,2020-2024
,Ronald,Popular Monster,2024,"Falling In Reverse, Tech N9ne, Alex Terrible",67,metal,2020-2024
,Good Things Go,From Zero,2024,Linkin Park,66,metal,2020-2024
,The Summoning,Take Me Back To Eden,2023,Sleep Token,74,metal,2020-2024
,Watch The World Burn,Watch The World Burn,2023,Falling In Reverse,66,metal,2020-2024
,Dial Tone,Shame On Me,2023,Catch Your Breath,71,metal,2020-2024
,Fighting Myself,Meteora 20th Anniversary Edition,2023,Linkin Park,67,metal,2020-2024
,Kool-Aid,POST HUMAN: NeX GEn,2024,Bring Me The Horizon,67,metal,2020-2024
,Nowhere To Go,THE DEATH OF PEACE OF MIND,2022,Bad Omens,68,metal,2020-2024
,Rain,Take Me Back To Eden,2023,Sleep Token,73,metal,2020-2024
,IGYEIH,From Zero,2024,Linkin Park,64,metal,2020-2024
,Alkaline,This Place Will Become Your Tomb,2021,Sleep Token,72,metal,2020-2024
,Angst,Zeit,2022,Rammstein,65,metal,2020-2024
,Gimme That Boom,Smile,2023,Skindred,63,metal,2020-2024
,Antes del amanecer,Dios está borracho,2024,Lepoka,47,metal,2020-2024
,Limits,Finding God Before God Finds Me (Deluxe),2020,Bad Omens,68,metal,2020-2024
,New Divide,Papercuts,2024,Linkin Park,67,metal,2020-2024
,Dicke Titten,Zeit,2022,Rammstein,66,metal,2020-2024
,1x1 (feat. Nova Twins),POST HUMAN: SURVIVAL HORROR,2020,"Bring Me The Horizon, Nova Twins",66,metal,2020-2024
,Casualty,From Zero,2024,Linkin Park,63,metal,2020-2024
,Overflow,From Zero,2024,Linkin Park,63,metal,2020-2024
,Call Me Little Sunshine,IMPERA,2022,Ghost,65,metal,2020-2024
,Teardrops,POST HUMAN: SURVIVAL HORROR,2020,Bring Me The Horizon,67,metal,2020-2024
,CONCRETE JUNGLE,THE DEATH OF PEACE OF MIND,2022,Bad Omens,67,metal,2020-2024
,Spillways,IMPERA,2022,Ghost,64,metal,2020-2024
,El Agua Del Tejo,El Agua Del Tejo,2024,Salduie,49,metal,2020-2024
,liMOusIne (feat. AURORA),POST HUMAN: NeX GEn,2024,"Bring Me The Horizon, AURORA",66,metal,2020-2024
,The Apparition,Take Me Back To Eden,2023,Sleep Token,70,metal,2020-2024
,Lost,Meteora 20th Anniversary Edition,2023,Linkin Park,65,metal,2020-2024
,Parasite Eve,POST HUMAN: SURVIVAL HORROR,2020,Bring Me The Horizon,65,metal,2020-2024
,Stormtroopers,The War to End All Wars,2022,Sabaton,64,metal,2020-2024
,Armee der Tristen,Zeit,2022,Rammstein,64,metal,2020-2024
,can u see me in the dark?,can u see me in the dark?,2024,"Halestorm, I Prevail",66,metal,2020-2024
,Contra Viento y Marea,El Baile de los Caídos,2020,Lepoka,41,metal,2020-2024
,V.A.N,CONCRETE JUNGLE [THE OST],2024,"Bad Omens, Poppy",65,metal,2020-2024
,Left Behind,Vol. 1,2024,The Plot In You,69,metal,2020-2024
,Granite,Take Me Back To Eden,2023,Sleep Token,71,metal,2020-2024
,Don't Tread on Me - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,59,metal,2020-2024
,Lux Æterna,72 Seasons,2023,Metallica,58,metal,2020-2024
,Black Hole,Darkbloom,2022,"We Came As Romans, Caleb Shomo",67,metal,2020-2024
,LosT,POST HUMAN: NeX GEn,2024,Bring Me The Horizon,65,metal,2020-2024
,More the Victim,Meteora 20th Anniversary Edition,2023,Linkin Park,62,metal,2020-2024
,ARTIFICIAL SUICIDE,THE DEATH OF PEACE OF MIND,2022,Bad Omens,66,metal,2020-2024
,Top 10 staTues tHat CriEd bloOd,POST HUMAN: NeX GEn,2024,Bring Me The Horizon,64,metal,2020-2024
,Killed by Death,All the Aces,2022,Motörhead,57,metal,2020-2024
,Jaded,Jaded,2023,Spiritbox,67,metal,2020-2024
,The Grey,THE DEATH OF PEACE OF MIND,2022,Bad Omens,65,metal,2020-2024
,NO FEAR,Popular Monster,2024,Falling In Reverse,63,metal,2020-2024
,Obey (with YUNGBLUD),POST HUMAN: SURVIVAL HORROR,2020,"Bring Me The Horizon, YUNGBLUD",63,metal,2020-2024
,Trigger Warning,Popular Monster,2024,Falling In Reverse,62,metal,2020-2024
,Two Faced,Two Faced,2024,Linkin Park,62,metal,2020-2024
