track_id,track,album,release_year,artists,popularity,genre,year_range;
,Fine,Fine,2021,DJ Cutbrawl,0,rap,2020-2024;
,Chances,Take a Chance,2020,Lil Force,0,rap,2020-2024;
",H-Town H-Town - Slowed & Chopped,H-Town H-Town (Slowed & Chopped),2024,""DJ SaucePark, Craig G, Paul Wall"",0,rap,2020-2024";
,Девушка-инферно,Девушка-инферно,2023,PETROV,0,rap,2020-2024;
,No Idea,All Out Viral Classics,2022,Don Toliver,0,rap,2020-2024;
",""Luv My City (feat. Wicked, Kang Versatile & Lil koo)"",MTP 2020 (Slowed & Chopped),2021,""Mr.Str8-8, Wicked, Kang Versatile, Lil Koo"",0,rap,2020-2024";
",WOKÓŁ HEJZA,WOKÓŁ HEJZA,2021,""RYGOR, Iwan"",0,rap,2020-2024";
,Hold up,Marcelo Classic,2022,Mr. Marcelo,0,rap,2020-2024;
,OXXID3,OXXID3,2022,|R|A|B|,0,rap,2020-2024;
,Replay,Musiche per bambini,2023,Iyaz,0,rap,2020-2024;
",Apologize,Vamos de Fiesta: 2000s,2023,""Timbaland, OneRepublic"",0,rap,2020-2024";
",Как раньше,Still on the Street,2020,""Эскимос Crew, Робси"",0,rap,2020-2024";
,Идент,Идент,2024,Kamikaz,0,rap,2020-2024;
",Olhos de Tapurim,Olhos de Tapurim,2020,""Sinistro, PinkTruence"",0,rap,2020-2024";
,04. siccit21 - overthinking,siccit21 - I HATE LIFE EP,2022,siccit21,0,rap,2020-2024;
",Branco Privilegiado,Jesus Preto - Ao Vivo,2024,""MN MC, Panquecabeats"",0,rap,2020-2024";
,Sea Santifiká (Life Arrangement),SS-EP12:27,2024,Nathan Senchi,0,rap,2020-2024;
,No Signs,No Signs,2020,itszachquietdwn,0,rap,2020-2024;
",""Donde Nací, Fue Así"",Quarantine Long Play (Vol.3),2021,Yumalesra,0,rap,2020-2024";
,Memories,Blood Money (Beat Tape),2024,Kostaki,0,rap,2020-2024;
,Sei di Cagliari se,Sei di Cagliari se,2021,Cool Caddish,0,rap,2020-2024;
",Big Flex,Big Flex,2020,""Rude Kid Venda, Nas100_zakes_sa, Dj Naija_banks"",0,rap,2020-2024";
,Murder On My Mind,Rap Essentials,2022,YNW Melly,0,rap,2020-2024;
,Tomorrow,MARMER,2020,Vinci,0,rap,2020-2024;
,No Idea,Gym Motivation,2022,Don Toliver,0,rap,2020-2024;
,Missing You - Freestyle,Og Ron C Presents F-Action 21,2022,OG Ron C,1,rap,2020-2024;
,Shawdy,Image Of Me,2022,Lil Cas,0,rap,2020-2024;
,Um Sinal,Tsunami,2021,Young Havaí,0,rap,2020-2024;
",Liga Mayor,Liga Mayor,2020,""Mango Rose, Veeto"",0,rap,2020-2024";
,Whoopty,20s Stars,2024,CJ,0,rap,2020-2024;
,YOU,HEAVEN CAN'T SAVE YOU,2023,HVN,0,rap,2020-2024;
",Pass It,BIG DUVIN IN THE CUT,2021,""Duvin, Kiro Almxghty, KiddKill, Mateo Sun"",0,rap,2020-2024";
",Wild Ones (feat. Sia),ตัวพ่อเพลง EDM,2024,""Flo Rida, Sia"",0,rap,2020-2024";
",Go,Success,2023,""G Man, Anthony Leonard Stephens Jr."",0,rap,2020-2024";
,Next to You,You're a Jerk - 00s Hip Hop,2022,Mike Jones,0,rap,2020-2024;
,Bape Hoodie,The Art of Spice Talk 2,2022,KrispyLife Kidd,0,rap,2020-2024;
",Stereo Hearts,SUMMER SUMMER SUMMER,2024,""Gym Class Heroes, Adam Levine"",0,rap,2020-2024";
",Penthouse,Hip Hop Hits Vol.10,2023,""Dave East, J. Black"",0,rap,2020-2024";
",Urgent Messages,Hip Hop Slow Jams,2023,""88GLAM, 6ixbuzz"",0,rap,2020-2024";
,LIKE SOMALIA,LIKE SOMALIA,2023,Truey 900,0,rap,2020-2024;
,Mezze verità,Aspettando Sanremo 2024,2024,Sottotono,0,rap,2020-2024;
",Somebody,Perfect Groove,2022,""A Boogie Wit da Hoodie, Don Q"",0,rap,2020-2024";
",My Heart,""The Come Up, Vol. 11"",2021,Lil Cas,0,rap,2020-2024";
,Drugs,Drugs,2022,siccit21,0,rap,2020-2024;
,MAKAI,Napoli nel cuore,2024,MV Killa,0,rap,2020-2024;
,Replay,Self Isolation Pop,2022,Iyaz,0,rap,2020-2024;
",Flying - Whiskey Autumn Remix,Never Come Down Remixed,2020,""OptycNerd, Whiskey Autumn"",0,rap,2020-2024";
,Оружие и цветы,Оружие и цветы,2023,AstroKai,0,rap,2020-2024;
",Replay,Throwback Vibes,2022,""Iyaz, Flo Rida"",0,rap,2020-2024";
",Gucci Flip Flops,Sundown Rap,2022,""Bhad Bhabie, Lil Yachty"",0,rap,2020-2024";
,BO$$ CHICK,Soundtrack to the Internet,2024,Saweetie,0,rap,2020-2024;
,Mixx Vibes,MIXX VIBES,2021,Nobrakes Mixx,0,rap,2020-2024;
,I Wanna Go,Alternative Rap,2022,Mase,0,rap,2020-2024;
